YEAR,STATE,RATE,DEATHS,,,,,
2020,WV,81.4,1330,,,,,
2020,KY,49.2,2083,,,,,
2020,DE,47.3,444,,,,,
2020,OH,47.2,5204,,,,,
2020,TN,45.6,3034,,,,,
2020,MD,44.6,2771,,,,,
2020,LA,42.7,1896,,,,,
2020,PA,42.4,5168,,,,,
2020,ME,39.7,496,,,,,
2020,CT,39.1,1371,,,,,
2020,NM,39,784,,,,,
2020,RI,38.2,397,,,,,
2020,IN,36.7,2321,,,,,
2020,AZ,35.8,2550,,,,,
2020,FL,35,7231,,,,,
2020,SC,34.9,1739,,,,,
2020,MA,33.9,2302,,,,,
2020,VT,32.9,190,,,,,
2020,NJ,32.1,2840,,,,,
2020,MO,32.1,1875,,,,,
2020,NC,30.9,3146,,,,,
2020,NH,30.3,393,,,,,
2020,MI,28.6,2759,,,,,
2020,IL,28.1,3549,,,,,
2020,WI,27.7,1531,,,,,
2020,VA,26.6,2240,,,,,
2020,NV,26,832,,,,,
2020,NY,25.4,4965,,,,,
2020,CO,24.9,1492,,,,,
2020,AL,22.3,1029,,,,,
2020,WA,22,1733,,,,,
2020,AK,22,160,,,,,
2020,CA,21.8,8908,,,,,
2020,MS,21.1,586,,,,,
2020,UT,20.5,622,,,,,
2020,OK,19.4,762,,,,,
2020,AR,19.1,546,,,,,
2020,MN,19,1050,,,,,
2020,OR,18.7,803,,,,,
2020,HI,18.3,274,,,,,
2020,GA,18,1916,,,,,
2020,KS,17.4,490,,,,,
2020,WY,17.4,99,,,,,
2020,ID,15.9,287,,,,,
2020,MT,15.6,162,,,,,
2020,ND,15.6,114,,,,,
2020,IA,14.3,432,,,,,
2020,TX,14.1,4172,,,,,
2020,NE,11.3,214,,,,,
2020,SD,10.3,83,,,,,
