fips,name,State,State Code,Region,Division,msa,type_bea20
0,01001,Autauga County,Alabama,AL,South,East South Central,"Montgomery, AL ",Metro
1,01003,Baldwin County,Alabama,AL,South,East South Central,"Daphne-Fairhope-Foley, AL ",Metro
2,01005,Barbour County,Alabama,AL,South,East South Central,"Eufaula, AL-GA ",Micro
3,01007,Bibb County,Alabama,AL,South,East South Central,"Birmingham-Hoover, AL ",Metro
4,01009,Blount County,Alabama,AL,South,East South Central,"Birmingham-Hoover, AL ",Metro
5,01011,Bullock County,Alabama,AL,South,East South Central,,Rural
6,01013,Butler County,Alabama,AL,South,East South Central,,Rural
7,01015,Calhoun County,Alabama,AL,South,East South Central,"Anniston-Oxford, AL ",Metro
8,01017,Chambers County,Alabama,AL,South,East South Central,"LaGrange, GA-AL ",Micro
9,01019,Cherokee County,Alabama,AL,South,East South Central,,Rural
10,01021,Chilton County,Alabama,AL,South,East South Central,"Birmingham-Hoover, AL ",Metro
11,01023,Choctaw County,Alabama,AL,South,East South Central,,Rural
12,01025,Clarke County,Alabama,AL,South,East South Central,,Rural
13,01027,Clay County,Alabama,AL,South,East South Central,,Rural
14,01029,Cleburne County,Alabama,AL,South,East South Central,,Rural
15,01031,Coffee County,Alabama,AL,South,East South Central,"Enterprise, AL ",Micro
16,01033,Colbert County,Alabama,AL,South,East South Central,"Florence-Muscle Shoals, AL ",Metro
17,01035,Conecuh County,Alabama,AL,South,East South Central,,Rural
18,01037,Coosa County,Alabama,AL,South,East South Central,"Alexander City, AL ",Micro
19,01039,Covington County,Alabama,AL,South,East South Central,,Rural
20,01041,Crenshaw County,Alabama,AL,South,East South Central,,Rural
21,01043,Cullman County,Alabama,AL,South,East South Central,"Cullman, AL ",Micro
22,01045,Dale County,Alabama,AL,South,East South Central,"Ozark, AL ",Micro
23,01047,Dallas County,Alabama,AL,South,East South Central,"Selma, AL ",Micro
24,01049,DeKalb County,Alabama,AL,South,East South Central,"Fort Payne, AL ",Micro
25,01051,Elmore County,Alabama,AL,South,East South Central,"Montgomery, AL ",Metro
26,01053,Escambia County,Alabama,AL,South,East South Central,"Atmore, AL ",Micro
27,01055,Etowah County,Alabama,AL,South,East South Central,"Gadsden, AL ",Metro
28,01057,Fayette County,Alabama,AL,South,East South Central,,Rural
29,01059,Franklin County,Alabama,AL,South,East South Central,,Rural
30,01061,Geneva County,Alabama,AL,South,East South Central,"Dothan, AL ",Metro
31,01063,Greene County,Alabama,AL,South,East South Central,"Tuscaloosa, AL ",Metro
32,01065,Hale County,Alabama,AL,South,East South Central,"Tuscaloosa, AL ",Metro
33,01067,Henry County,Alabama,AL,South,East South Central,"Dothan, AL ",Metro
34,01069,Houston County,Alabama,AL,South,East South Central,"Dothan, AL ",Metro
35,01071,Jackson County,Alabama,AL,South,East South Central,"Scottsboro, AL ",Micro
36,01073,Jefferson County,Alabama,AL,South,East South Central,"Birmingham-Hoover, AL ",Metro
37,01075,Lamar County,Alabama,AL,South,East South Central,,Rural
38,01077,Lauderdale County,Alabama,AL,South,East South Central,"Florence-Muscle Shoals, AL ",Metro
39,01079,Lawrence County,Alabama,AL,South,East South Central,"Decatur, AL ",Metro
40,01081,Lee County,Alabama,AL,South,East South Central,"Auburn-Opelika, AL ",Metro
41,01083,Limestone County,Alabama,AL,South,East South Central,"Huntsville, AL ",Metro
42,01085,Lowndes County,Alabama,AL,South,East South Central,"Montgomery, AL ",Metro
43,01087,Macon County,Alabama,AL,South,East South Central,,Rural
44,01089,Madison County,Alabama,AL,South,East South Central,"Huntsville, AL ",Metro
45,01091,Marengo County,Alabama,AL,South,East South Central,,Rural
46,01093,Marion County,Alabama,AL,South,East South Central,,Rural
47,01095,Marshall County,Alabama,AL,South,East South Central,"Albertville, AL ",Micro
48,01097,Mobile County,Alabama,AL,South,East South Central,"Mobile, AL ",Metro
49,01099,Monroe County,Alabama,AL,South,East South Central,,Rural
50,01101,Montgomery County,Alabama,AL,South,East South Central,"Montgomery, AL ",Metro
51,01103,Morgan County,Alabama,AL,South,East South Central,"Decatur, AL ",Metro
52,01105,Perry County,Alabama,AL,South,East South Central,,Rural
53,01107,Pickens County,Alabama,AL,South,East South Central,"Tuscaloosa, AL ",Metro
54,01109,Pike County,Alabama,AL,South,East South Central,"Troy, AL ",Micro
55,01111,Randolph County,Alabama,AL,South,East South Central,,Rural
56,01113,Russell County,Alabama,AL,South,East South Central,"Columbus, GA-AL ",Metro
57,01115,St. Clair County,Alabama,AL,South,East South Central,"Birmingham-Hoover, AL ",Metro
58,01117,Shelby County,Alabama,AL,South,East South Central,"Birmingham-Hoover, AL ",Metro
59,01119,Sumter County,Alabama,AL,South,East South Central,,Rural
60,01121,Talladega County,Alabama,AL,South,East South Central,"Talladega-Sylacauga, AL ",Micro
61,01123,Tallapoosa County,Alabama,AL,South,East South Central,"Alexander City, AL ",Micro
62,01125,Tuscaloosa County,Alabama,AL,South,East South Central,"Tuscaloosa, AL ",Metro
63,01127,Walker County,Alabama,AL,South,East South Central,"Jasper, AL ",Micro
64,01129,Washington County,Alabama,AL,South,East South Central,"Mobile, AL ",Metro
65,01131,Wilcox County,Alabama,AL,South,East South Central,,Rural
66,01133,Winston County,Alabama,AL,South,East South Central,,Rural
67,02013,Aleutians East Borough,Alaska,AK,West,Pacific,,Rural
68,02016,Aleutians West Census Area,Alaska,AK,West,Pacific,,Rural
69,02020,Anchorage Municipality,Alaska,AK,West,Pacific,"Anchorage, AK ",Metro
70,02050,Bethel Census Area,Alaska,AK,West,Pacific,,Rural
71,02060,Bristol Bay Borough,Alaska,AK,West,Pacific,,Rural
72,02068,Denali Borough,Alaska,AK,West,Pacific,,Rural
73,02070,Dillingham Census Area,Alaska,AK,West,Pacific,,Rural
74,02090,Fairbanks North Star Borough,Alaska,AK,West,Pacific,"Fairbanks, AK ",Metro
75,02100,Haines Borough,Alaska,AK,West,Pacific,,Rural
76,02105,Hoonah-Angoon Census Area,Alaska,AK,West,Pacific,,Rural
