STATE,REGION
California,Coastal West
Oregon,Coastal West
Washington,Coastal West
Idaho,Interior Northwest
Montana,Interior Northwest
Wyoming,Interior Northwest
Delaware,Mid-Atlantic
District Of Columbia,Mid-Atlantic
Maryland,Mid-Atlantic
New Jersey,Mid-Atlantic
New York,Mid-Atlantic
Pennsylvania,Mid-Atlantic
Virginia,Mid-Atlantic
West Virginia,Mid-Atlantic
Illinois,Midwest
Indiana,Midwest
Iowa,Midwest
Kansas,Midwest
Michigan,Midwest
Minnesota,Midwest
Missouri,Midwest
Nebraska,Midwest
North Dakota,Midwest
Ohio,Midwest
South Dakota,Midwest
Wisconsin,Midwest
Connecticut,New England
Maine,New England
Massachusetts,New England
New Hampshire,New England
Rhode Island,New England
Vermont,New England
Alaska,Other
Hawaii,Other
Alabama,South
Arkansas,South
Florida,South
Georgia,South
Kentucky,South
Louisiana,South
Mississippi,South
North Carolina,South
Oklahoma,South
South Carolina,South
Tennessee,South
Texas,South
Arizona,Southwest
Colorado,Southwest
Nevada,Southwest
New Mexico,Southwest
Utah,Southwest
