fips,type_census03,type_bls13,type_census20,type_kurt20,State,County Title
0,01001,Metro,Metro,Metro,Metro,Alabama,"Autauga County, Alabama"
1,01003,Micro,Metro,Metro,Metro,Alabama,"Baldwin County, Alabama"
2,01005,Rural,Rural,Micro,Micro,Alabama,"Barbour County, Alabama"
3,01007,Metro,Metro,Metro,Metro,Alabama,"Bibb County, Alabama"
4,01009,Metro,Metro,Metro,Metro,Alabama,"Blount County, Alabama"
5,01011,Rural,Rural,Rural,Rural,Alabama,"Bullock County, Alabama"
6,01013,Rural,Rural,Rural,Rural,Alabama,"Butler County, Alabama"
7,01015,Metro,Metro,Metro,Metro,Alabama,"Calhoun County, Alabama"
8,01017,Micro,Micro,Micro,Micro,Alabama,"Chambers County, Alabama"
9,01019,Rural,Rural,Rural,Rural,Alabama,"Cherokee County, Alabama"
10,01021,Metro,Metro,Metro,Metro,Alabama,"Chilton County, Alabama"
11,01023,Rural,Rural,Rural,Rural,Alabama,"Choctaw County, Alabama"
12,01025,Rural,Rural,Rural,Rural,Alabama,"Clarke County, Alabama"
13,01027,Rural,Rural,Rural,Rural,Alabama,"Clay County, Alabama"
14,01029,Rural,Rural,Rural,Rural,Alabama,"Cleburne County, Alabama"
15,01031,Micro,Micro,Micro,Micro,Alabama,"Coffee County, Alabama"
16,01033,Metro,Metro,Metro,Metro,Alabama,"Colbert County, Alabama"
17,01035,Rural,Rural,Rural,Rural,Alabama,"Conecuh County, Alabama"
18,01037,Rural,Micro,Micro,Micro,Alabama,"Coosa County, Alabama"
19,01039,Rural,Rural,Rural,Rural,Alabama,"Covington County, Alabama"
20,01041,Rural,Rural,Rural,Rural,Alabama,"Crenshaw County, Alabama"
21,01043,Micro,Micro,Micro,Micro,Alabama,"Cullman County, Alabama"
22,01045,Micro,Micro,Micro,Micro,Alabama,"Dale County, Alabama"
23,01047,Micro,Micro,Micro,Micro,Alabama,"Dallas County, Alabama"
24,01049,Rural,Rural,Micro,Micro,Alabama,"DeKalb County, Alabama"
25,01051,Metro,Metro,Metro,Metro,Alabama,"Elmore County, Alabama"
26,01053,Rural,Rural,Micro,Micro,Alabama,"Escambia County, Alabama"
27,01055,Metro,Metro,Metro,Metro,Alabama,"Etowah County, Alabama"
28,01057,Rural,Rural,Rural,Rural,Alabama,"Fayette County, Alabama"
29,01059,Rural,Rural,Rural,Rural,Alabama,"Franklin County, Alabama"
30,01061,Metro,Metro,Metro,Metro,Alabama,"Geneva County, Alabama"
31,01063,Metro,Rural,Metro,Metro,Alabama,"Greene County, Alabama"
32,01065,Metro,Metro,Metro,Metro,Alabama,"Hale County, Alabama"
